num_qubits,depth,num_circuits,shots,qpu_seconds
2,5,1,1000,2.981833
2,5,12,1000,7.669428
2,5,23,1000,12.542105
2,5,34,1000,17.124343
2,5,45,1000,21.952526
2,5,56,1000,26.779989
2,5,67,1000,31.49377
2,5,78,1000,36.323195
2,5,89,1000,41.090048
2,5,100,1000,46.038944
2,1,1,1000,3.017986
2,6,1,1000,3.238903
2,11,1,1000,3.027865
2,16,1,1000,3.121345
2,21,1,1000,2.955328
2,26,1,1000,3.239296
2,31,1,1000,2.975623
2,36,1,1000,3.015543
2,41,1,1000,3.008617
2,46,1,1000,3.106363
2,51,1,1000,3.00854
2,56,1,1000,2.980254
2,61,1,1000,3.1583
2,66,1,1000,3.206648
2,71,1,1000,2.944503
2,76,1,1000,3.112113
2,81,1,1000,2.977112
2,86,1,1000,2.906232
2,91,1,1000,3.250802
2,96,1,1000,2.954498
2,101,1,1000,3.219748
2,106,1,1000,3.230491
2,111,1,1000,3.026576
2,116,1,1000,2.986265
2,121,1,1000,3.111414
2,127,1,1000,3.174185
2,132,1,1000,2.951532
2,137,1,1000,3.189878
2,142,1,1000,2.973424
2,147,1,1000,3.233269
2,152,1,1000,2.970721
2,157,1,1000,3.207216
2,162,1,1000,3.105016
2,167,1,1000,3.123819
2,172,1,1000,3.10656
2,177,1,1000,2.898026
2,182,1,1000,3.048523
2,187,1,1000,3.188759
2,192,1,1000,2.94414
2,197,1,1000,3.139161
2,202,1,1000,3.478808
2,207,1,1000,3.328256
2,212,1,1000,2.987892
2,217,1,1000,3.2237
2,222,1,1000,3.238685
2,227,1,1000,3.063648
2,232,1,1000,3.15341
2,237,1,1000,2.9221
2,242,1,1000,3.235284
2,247,1,1000,2.958195
2,253,1,1000,3.219703
2,258,1,1000,3.153148
2,263,1,1000,3.19928
2,268,1,1000,3.10848
2,273,1,1000,2.901723
2,278,1,1000,3.148538
2,283,1,1000,2.998158
2,288,1,1000,3.095113
2,293,1,1000,2.964837
2,298,1,1000,3.104059
2,303,1,1000,3.183824
2,308,1,1000,3.08526
2,313,1,1000,3.200153
2,318,1,1000,3.354913
2,323,1,1000,3.016966
2,328,1,1000,3.271434
2,333,1,1000,2.997038
2,338,1,1000,3.153575
2,343,1,1000,3.160278
2,348,1,1000,2.99376
2,353,1,1000,3.059897
2,358,1,1000,3.004696
2,363,1,1000,2.98699
2,368,1,1000,3.171522
2,373,1,1000,3.193594
2,379,1,1000,3.045711
2,384,1,1000,3.141743
2,389,1,1000,3.065208
2,394,1,1000,2.900353
2,399,1,1000,3.246499
2,404,1,1000,2.896435
2,409,1,1000,3.13687
2,414,1,1000,3.183366
2,419,1,1000,3.214246
2,424,1,1000,3.137972
2,429,1,1000,2.916481
2,434,1,1000,3.046479
2,439,1,1000,3.149449
2,444,1,1000,2.918306
2,449,1,1000,3.238494
2,454,1,1000,2.99757
2,459,1,1000,3.311676
2,464,1,1000,3.203576
2,469,1,1000,3.007434
2,474,1,1000,3.582061
2,479,1,1000,2.976728
2,484,1,1000,2.913714
2,489,1,1000,2.963039
2,494,1,1000,3.081219
2,500,1,1000,2.994679
1,5,1,1000,2.945487
2,5,1,1000,3.127768
3,5,1,1000,3.204712
4,5,1,1000,3.536795
5,5,1,1000,3.739573
2,5,1,1000,3.16178
2,5,1,12000,7.840876
2,5,1,23000,12.586953
2,5,1,34000,17.217596
2,5,1,45000,21.981468
2,5,1,56000,26.749702
2,5,1,67000,31.570187
2,5,1,78000,36.680541
2,5,1,89000,40.907746
2,5,1,100000,45.866495
2,5,1,500,2.813842
2,5,12,500,5.129852
2,5,23,500,7.607837
2,5,34,500,9.940541
2,5,45,500,12.470464
2,5,56,500,14.817282
2,5,67,500,17.248324
2,5,78,500,19.611241
2,5,89,500,21.795267
2,5,100,500,24.097503
2,1,1,500,3.019898
2,56,1,500,3.005378
2,111,1,500,2.953115
2,167,1,500,3.027468
2,222,1,500,2.973162
2,278,1,500,2.821248
2,333,1,500,2.786211
2,389,1,500,2.767732
2,444,1,500,2.766028
2,500,1,500,3.034442
1,5,1,500,2.613182
2,5,1,1000,3.269438
2,5,1,12000,7.676031
2,5,1,23000,12.575999
2,5,1,34000,17.398708
2,5,1,45000,22.051263
2,5,1,56000,27.000509
2,5,1,67000,31.570888
2,5,1,78000,36.263609
2,5,1,89000,41.016442
2,5,1,100000,45.908625
